epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
158,98.0075,0.66287,0.91944,0.96567,0.87463,0.76226,0.9325,0.70375,0.73198,0.98684,0.97161,0.000527856,0.000527856,0.000527856
159,98.6383,0.85695,1.39181,0.99653,0.87463,0.76226,0.9325,0.70375,0.73198,0.98684,0.97161,0.000527238,0.000527238,0.000527238
160,99.3186,1.05177,1.66986,0.90169,0.79825,0.82153,0.95333,0.78048,0.67105,0.90471,0.94534,0.000526619,0.000526619,0.000526619
161,99.9625,0.82905,1.10811,0.94706,0.79825,0.82153,0.95333,0.78048,0.67105,0.90471,0.94534,0.000526,0.000526,0.000526
162,100.59,0.69601,1.81473,1.03709,0.79825,0.82153,0.95333,0.78048,0.67105,0.90471,0.94534,0.000525381,0.000525381,0.000525381
163,101.225,0.72881,1.41754,0.90803,0.79825,0.82153,0.95333,0.78048,0.67105,0.90471,0.94534,0.000524762,0.000524762,0.000524762
164,101.872,0.78127,1.08046,1.07453,0.86152,0.82525,0.97,0.79818,0.63419,0.872,0.93296,0.000524144,0.000524144,0.000524144
165,102.488,0.71747,0.92546,0.9667,0.86152,0.82525,0.97,0.79818,0.63419,0.872,0.93296,0.000523525,0.000523525,0.000523525
166,103.113,0.67852,0.8491,0.87133,0.86152,0.82525,0.97,0.79818,0.63419,0.872,0.93296,0.000522906,0.000522906,0.000522906
167,103.751,0.80685,1.14307,0.90453,0.86152,0.82525,0.97,0.79818,0.63419,0.872,0.93296,0.000522288,0.000522288,0.000522288
168,104.422,0.83903,1.2538,0.87203,0.80169,0.8453,0.97,0.81332,0.54666,0.86685,0.90503,0.000521669,0.000521669,0.000521669
169,105.054,0.51001,0.75996,0.91539,0.80169,0.8453,0.97,0.81332,0.54666,0.86685,0.90503,0.00052105,0.00052105,0.00052105
170,105.667,0.68655,1.11486,0.99763,0.80169,0.8453,0.97,0.81332,0.54666,0.86685,0.90503,0.000520431,0.000520431,0.000520431
171,106.303,0.90609,1.08839,1.08957,0.80169,0.8453,0.97,0.81332,0.54666,0.86685,0.90503,0.000519812,0.000519812,0.000519812
172,107.007,0.91979,1.28284,0.94377,0.80565,0.85511,0.97,0.79634,0.54301,0.8434,0.89994,0.000519194,0.000519194,0.000519194
173,107.679,0.7551,0.9138,0.9839,0.80565,0.85511,0.97,0.79634,0.54301,0.8434,0.89994,0.000518575,0.000518575,0.000518575
174,108.36,0.78419,1.26019,0.9261,0.80565,0.85511,0.97,0.79634,0.54301,0.8434,0.89994,0.000517956,0.000517956,0.000517956
175,109.029,0.4961,0.73473,0.90442,0.80565,0.85511,0.97,0.79634,0.54301,0.8434,0.89994,0.000517338,0.000517338,0.000517338
176,109.665,0.61129,0.83233,0.92399,0.78974,0.87424,0.97417,0.81972,0.56675,0.82908,0.89829,0.000516719,0.000516719,0.000516719
177,110.298,0.95302,1.34847,1.2396,0.78974,0.87424,0.97417,0.81972,0.56675,0.82908,0.89829,0.0005161,0.0005161,0.0005161
178,110.912,0.71371,0.93495,0.99099,0.78974,0.87424,0.97417,0.81972,0.56675,0.82908,0.89829,0.000515481,0.000515481,0.000515481
179,111.518,0.65591,0.885,1.00623,0.78974,0.87424,0.97417,0.81972,0.56675,0.82908,0.89829,0.000514862,0.000514862,0.000514862
180,112.166,0.7283,0.90021,1.03815,0.72078,0.95406,0.97417,0.83332,0.62782,0.81473,0.91396,0.000514244,0.000514244,0.000514244
181,112.794,0.63365,0.73413,0.86962,0.72078,0.95406,0.97417,0.83332,0.62782,0.81473,0.91396,0.000513625,0.000513625,0.000513625
182,113.407,0.61829,0.71484,0.86606,0.72078,0.95406,0.97417,0.83332,0.62782,0.81473,0.91396,0.000513006,0.000513006,0.000513006
183,114.029,0.6764,0.81351,0.99019,0.72078,0.95406,0.97417,0.83332,0.62782,0.81473,0.91396,0.000512388,0.000512388,0.000512388
184,114.678,0.63467,0.95486,0.98535,0.79151,0.92372,0.98111,0.8407,0.64581,0.79898,0.91434,0.000511769,0.000511769,0.000511769
